Administration Fee,Bathrooms,Price,Bedrooms,Stratum,Property Type,State,Year Built,Garage,Business Type,Status,Neighborhood,Country,Locality,City,Built Area,Floor,Land Area,URL,Title,Extraction Date,Error,Section
$600.000,2,$541.800.000,2,6,Apartamento,Cundinamarca,1989,1,Venta,Usado,Santa Bárbara,Colombia,Usaquén,Bogotá D.C.,86 m²,5,86 m²,https://bogotarealestate.com.co/apartamento-venta-santa-barbara-bogota-dc/9606822,APARTAMENTO EN VENTA EN SANTA BÁRBARA CENTRAL,2025-11-09 16:15,,Sales
$300.288,2,$383.000.000,3,3,Apartamento,Cundinamarca,2010,1,Venta,Usado,Britalia,Colombia,Suba,Bogotá D.C.,72 m²,2,72 m²,https://bogotarealestate.com.co/apartamento-venta-britalia-bogota-dc/9606627,APARTAMENTO EN VENTA EN BRITALIA – CONJUNTO RINC…,2025-11-09 16:15,,Sales
$440.000,3,$444.000.000,3,4,Apartamento,Cundinamarca,1991,2,Venta,Usado,Villas Del Mediterraneo,Colombia,Usaquén,Bogotá D.C.,96 m²,1,96 m²,https://bogotarealestate.com.co/apartamento-venta-villas-del-mediterraneo-bogota-dc/9585965,APARTAMENTO EN VENTA EN VILLAS DEL MEDITERRÁNEO,2025-11-09 16:15,,Sales
$541.000,2,$460.000.000,3,4,Apartamento,Cundinamarca,1995,1,Venta,Usado,Cedritos,Colombia,Usaquén,Bogotá D.C.,91 m²,4,91 m²,https://bogotarealestate.com.co/apartamento-venta-cedritos-bogota-dc/9585950,APARTAMENTO EN VENTA EN CEDRITOS – CONJUNTO TORR…,2025-11-09 16:15,,Sales
N/A,2,$460.000.000,3,4,Apartamento,Cundinamarca,1990,1,Venta,Usado,Cedritos,Colombia,Usaquén,Bogotá D.C.,76 m²,3,76 m²,https://bogotarealestate.com.co/apartamento-venta-cedritos-bogota-dc/9585894,APARTAMENTO EN VENTA EN CEDRITOS – CONJUNTO LOS…,2025-11-09 16:15,,Sales
$600.000,2,$1.115.000.000,2,6,Apartamento,Cundinamarca,10,2,Venta,Usado,San Patricio,Colombia,Usaquén,Bogotá D.C.,.67 m²,2,122 m²,https://bogotarealestate.com.co/apartamento-venta-san-patricio-bogota-dc/9581058,VENTA APARTAMENTO SAN PATRICIO,2025-11-09 16:15,,Sales
$416.000,2,$370.000.000,N/A,4,Apartamento,Cundinamarca,1990,1,Venta,Usado,Cedritos,Colombia,Usaquén,Bogotá D.C.,80.54 m²,3,80.54 m²,https://bogotarealestate.com.co/apartamento-venta-cedritos-bogota-dc/9581042,VENTA APARTAMENTO CEDRITOS,2025-11-09 16:15,,Sales
$650.000,3,$400.000.000,3,4,Apartamento,Cundinamarca,1986,1,Venta,Usado,Belmira,Colombia,Usaquén,Bogotá D.C.,156.09 m²,4,156 m²,https://bogotarealestate.com.co/apartamento-venta-belmira-bogota-dc/9581030,VENTA APARTAMENTO BELMIRA - CEDRITOS,2025-11-09 16:15,,Sales
$750.000,2,$585.500.000,2,5,Apartamento,Cundinamarca,2021,2,Venta,Usado,El Contador,Colombia,Usaquén,Bogotá D.C.,62.45 m²,3,62.45 m²,https://bogotarealestate.com.co/apartamento-venta-el-contador-bogota-dc/9575203,"APARTAMENTO EN VENTA – EDIFICIO COUNTRY 134, NOR…",2025-11-09 16:15,,Sales
$150.000,2,$210.000.000,3,3,Apartamento,Boyacá,2025,N/A,Venta,Nuevo,Centro,Colombia,N/A,Tunja,60 m²,7,60 m²,https://bogotarealestate.com.co/apartamento-venta-centro-tunja/9571699,VENDO APARTAMENTO EN TUNJA,2025-11-09 16:15,,Sales
$424.000,3,$525.000.000,3,4,Casa,Cundinamarca,2012,1,Venta,Usado,Cedro Bolivar,Colombia,Usaquén,Bogotá D.C.,98 m²,1,98 m²,https://bogotarealestate.com.co/casa-venta-cedro-bolivar-bogota-dc/9553842,CASA EN VENTA EN CEDRO BOLIVAR – CONJUNTO LARA…,2025-11-09 16:16,,Sales
$226.180,2,$268.400.000,3,3,Apartamento,Cundinamarca,1992,N/A,Venta,Usado,Las Orquideas,Colombia,Usaquén,Bogotá D.C.,56 m²,3,56 m²,https://bogotarealestate.com.co/apartamento-venta-las-orquideas-bogota-dc/9553794,APARTAMENTO EN VENTA EN LAS ORQUÍDEAS – NORTE DE…,2025-11-09 16:16,,Sales
